State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,2,260,354974.0,195,261358.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,3,519,593259.0,385,432488.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,4,610,762921.0,443,569214.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,1,598,810733.0,459,650192.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,2,492,621719.0,377,483708.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,3,600,777222.0,461,615237.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,4,833,1306915.0,626,1009363.0
delhi,west,110059,2020,2,2159,341511.0,895,132104.0
delhi,west,110059,2020,3,1250,330947.0,407,95078.0
delhi,west,110059,2020,4,1383,1065762.0,447,315637.0
delhi,west,110059,2021,1,2017,1508820.0,632,446103.0
delhi,west,110042,2021,2,1965,1709029.0,1036,537398.0
delhi,west,110059,2021,3,2246,2081839.0,714,607891.0
delhi,west,110059,2021,4,5047,5302169.0,1509,1603319.0
delhi,west,110059,2022,1,4368,5442041.0,1416,1666849.0
delhi,west,110059,2022,2,3733,4528416.0,1142,1297001.0
delhi,west,110059,2022,3,5208,5873812.0,1506,1670765.0
delhi,west,110059,2022,4,6947,8360376.0,1982,2407623.0
delhi,west,110059,2023,1,6429,8754573.0,1796,2506005.0
delhi,west,110059,2023,2,5862,7931949.0,1748,2338495.0
delhi,west,110059,2023,3,6673,8338655.0,2047,2377598.0
delhi,west,110059,2023,4,7829,10545733.0,2330,3163916.0
goa,north goa,403601,2020,2,181,37838.0,22,4660.0
goa,north goa,403722,2020,3,401,115163.0,59,15935.0
goa,north goa,403722,2020,4,351,398099.0,42,34732.0
goa,north goa,403601,2021,1,514,464207.0,64,59277.0
goa,north goa,403601,2021,2,561,531664.0,77,73045.0
goa,north goa,403601,2021,3,668,825408.0,86,65102.0
goa,north goa,403001,2021,4,1203,1604306.0,146,139568.0
goa,north goa,403601,2022,1,1369,2131215.0,223,260595.0
goa,north goa,403001,2022,2,2018,3006451.0,257,321819.0
goa,north goa,403601,2022,3,1669,2298586.0,261,313674.0
goa,north goa,403401,2022,4,2517,3662258.0,270,429318.0
goa,north goa,403601,2023,1,2130,3216159.0,355,406884.0
goa,north goa,403601,2023,2,2231,3373064.0,383,445452.0
goa,north goa,403601,2023,3,2161,3229062.0,274,338515.0
goa,north goa,403601,2023,4,2725,4320025.0,362,571634.0
gujarat,ahmadabad,360311,2020,2,2282,396800.0,177,24744.0
gujarat,ahmadabad,395006,2020,3,2682,655107.0,266,58537.0
gujarat,ahmadabad,395006,2020,4,2306,1404202.0,195,149132.0
gujarat,ahmadabad,395010,2021,1,2902,1664753.0,242,133115.0
gujarat,ahmadabad,395006,2021,2,3074,2177028.0,294,114635.0
gujarat,surat,395010,2021,3,3409,2501335.0,383,263796.0
gujarat,ahmadabad,394210,2021,4,4857,5269395.0,374,399641.0
gujarat,ahmadabad,394210,2022,1,6393,7847666.0,582,603510.0
gujarat,ahmadabad,394210,2022,2,6962,8565312.0,676,652988.0
gujarat,ahmadabad,395010,2022,3,8499,9788819.0,807,684259.0
gujarat,ahmadabad,394210,2022,4,9650,12572383.0,773,769818.0
gujarat,ahmadabad,394210,2023,1,8530,11389837.0,1001,1073416.0
gujarat,ahmadabad,395010,2023,2,9078,11920370.0,685,714994.0
gujarat,ahmadabad,395006,2023,3,13645,16204152.0,1451,1257464.0
gujarat,ahmadabad,394210,2023,4,10344,16047139.0,816,966984.0
haryana,gurugram,122001,2020,2,2571,438481.0,575,93975.0
haryana,gurugram,122001,2020,3,1999,454846.0,361,74622.0
haryana,gurugram,122001,2020,4,2380,1626450.0,460,270525.0
haryana,gurugram,122001,2021,1,3377,2003697.0,604,349428.0
haryana,gurugram,122001,2021,2,3238,2521099.0,566,394802.0
haryana,gurugram,122001,2021,3,4501,3651728.0,866,704138.0
haryana,gurugram,122001,2021,4,5951,6492219.0,1104,1111507.0
haryana,gurugram,122001,2022,1,6642,8138262.0,1252,1456298.0
haryana,gurugram,122001,2022,2,6554,7627997.0,1236,1366070.0
haryana,gurugram,122001,2022,3,10085,10744733.0,1932,1913882.0
haryana,gurugram,122001,2022,4,11347,14333166.0,2037,2580157.0
haryana,gurugram,122001,2023,1,10981,15057940.0,2018,2513445.0
haryana,gurugram,122001,2023,2,11759,15891257.0,2154,2955207.0
haryana,gurugram,122001,2023,3,13467,16796070.0,2457,3051171.0
haryana,gurugram,122001,2023,4,14118,20950373.0,2474,3601541.0
himachal-pradesh,solan,175141,2020,2,97,19714.0,63,7664.0
himachal-pradesh,solan,173205,2020,3,132,38040.0,55,13283.0
himachal-pradesh,solan,173205,2020,4,162,88870.0,79,40346.0
himachal-pradesh,solan,173205,2021,1,248,140127.0,127,52084.0
himachal-pradesh,solan,173205,2021,2,243,196231.0,118,81179.0
himachal-pradesh,solan,173205,2021,3,391,390500.0,163,139002.0
himachal-pradesh,kangra,173205,2021,4,535,1087881.0,222,214385.0
himachal-pradesh,kangra,173205,2022,1,674,1204389.0,237,291025.0
himachal-pradesh,kangra,173205,2022,2,669,1348463.0,230,305655.0
himachal-pradesh,kangra,173205,2022,3,823,1348052.0,371,404794.0
himachal-pradesh,kangra,173205,2022,4,1085,2218111.0,455,632101.0
himachal-pradesh,kangra,173205,2023,1,950,1883388.0,325,424721.0
himachal-pradesh,kangra,173205,2023,2,979,2087628.0,389,467736.0
himachal-pradesh,kangra,173205,2023,3,998,2023047.0,349,392065.0
himachal-pradesh,kangra,173205,2023,4,1319,3070701.0,495,842873.0
jammu-&-kashmir,jammu,182101,2020,2,90,20793.0,12,2961.0
jammu-&-kashmir,jammu,180005,2020,3,178,57768.0,24,11779.0
jammu-&-kashmir,jammu,180011,2020,4,220,234831.0,20,8723.0
jammu-&-kashmir,jammu,193504,2021,1,330,366886.0,115,165665.0
jammu-&-kashmir,jammu,193504,2021,2,371,621718.0,71,43177.0
jammu-&-kashmir,jammu,192123,2021,3,475,624158.0,76,34214.0
jammu-&-kashmir,jammu,191111,2021,4,918,1563386.0,515,260569.0
jammu-&-kashmir,jammu,192301,2022,1,974,1927670.0,136,178613.0
jammu-&-kashmir,jammu,180001,2022,2,1181,1988901.0,113,152646.0
