State,District,Year,Quater,Insurance_count,Insurance_amount
andhra-pradesh,vizianagaram district,2023,2,1227,1530183.0
andhra-pradesh,visakhapatnam district,2023,2,7000,8910217.0
andhra-pradesh,prakasam district,2023,2,1311,1880405.0
andhra-pradesh,anantapur district,2023,2,1688,3027497.0
andhra-pradesh,ysr district,2023,2,1652,2426306.0
andhra-pradesh,west godavari district,2023,2,2140,3383512.0
andhra-pradesh,kurnool district,2023,2,1473,2483871.0
andhra-pradesh,chittoor district,2023,2,3756,5988173.0
andhra-pradesh,guntur district,2023,2,3725,5015442.0
andhra-pradesh,krishna district,2023,2,5163,6666796.0
andhra-pradesh,east godavari district,2023,3,4157,5720660.0
andhra-pradesh,srikakulam district,2023,3,1308,1724487.0
andhra-pradesh,spsr nellore district,2023,3,3082,3962298.0
andhra-pradesh,vizianagaram district,2023,3,1274,1526422.0
andhra-pradesh,visakhapatnam district,2023,3,8972,11107138.0
andhra-pradesh,prakasam district,2023,3,1695,2170370.0
andhra-pradesh,anantapur district,2023,3,1947,3392196.0
andhra-pradesh,ysr district,2023,3,1900,2732465.0
andhra-pradesh,west godavari district,2023,3,2308,3162591.0
andhra-pradesh,kurnool district,2023,3,1723,2310997.0
andhra-pradesh,chittoor district,2023,3,3993,6350318.0
andhra-pradesh,guntur district,2023,3,4604,5810698.0
andhra-pradesh,krishna district,2023,3,6187,7831756.0
andhra-pradesh,east godavari district,2023,4,4294,6404501.0
andhra-pradesh,srikakulam district,2023,4,1327,1851290.0
andhra-pradesh,spsr nellore district,2023,4,2739,3968074.0
andhra-pradesh,vizianagaram district,2023,4,1350,1745449.0
andhra-pradesh,visakhapatnam district,2023,4,8787,12027284.0
andhra-pradesh,prakasam district,2023,4,1561,2357325.0
andhra-pradesh,anantapur district,2023,4,2143,3651525.0
andhra-pradesh,ysr district,2023,4,1923,2738253.0
andhra-pradesh,west godavari district,2023,4,2198,3630998.0
andhra-pradesh,kurnool district,2023,4,1829,3161720.0
andhra-pradesh,chittoor district,2023,4,4025,7322967.0
andhra-pradesh,guntur district,2023,4,4354,6154821.0
andhra-pradesh,krishna district,2023,4,5268,7328216.0
arunachal-pradesh,lower dibang valley district,2020,2,2,513.0
arunachal-pradesh,west kameng district,2020,2,2,513.0
arunachal-pradesh,lower subansiri district,2020,2,1,231.0
arunachal-pradesh,west siang district,2020,2,5,1124.0
arunachal-pradesh,kamle district,2020,2,1,298.0
arunachal-pradesh,east siang district,2020,2,2,469.0
arunachal-pradesh,tirap district,2020,2,5,1026.0
arunachal-pradesh,lepa rada district,2020,2,1,282.0
arunachal-pradesh,tawang district,2020,2,3,827.0
arunachal-pradesh,namsai district,2020,2,1,231.0
arunachal-pradesh,papum pare district,2020,2,33,6304.0
arunachal-pradesh,changlang district,2020,2,9,2511.0
arunachal-pradesh,lower dibang valley district,2020,3,4,843.0
arunachal-pradesh,lower subansiri district,2020,3,1,662.0
arunachal-pradesh,longding district,2020,3,1,166.0
arunachal-pradesh,west siang district,2020,3,5,2052.0
arunachal-pradesh,kamle district,2020,3,1,166.0
arunachal-pradesh,upper siang district,2020,3,1,281.0
arunachal-pradesh,tirap district,2020,3,3,939.0
arunachal-pradesh,papum pare district,2020,3,60,15776.0
arunachal-pradesh,siang district,2020,3,1,184.0
arunachal-pradesh,lower siang district,2020,3,1,662.0
arunachal-pradesh,changlang district,2020,3,2,364.0
arunachal-pradesh,dibang valley district,2020,3,3,66.0
arunachal-pradesh,west kameng district,2020,3,12,3466.0
arunachal-pradesh,east siang district,2020,3,22,9675.0
arunachal-pradesh,upper subansiri district,2020,3,2,66.0
arunachal-pradesh,east kameng district,2020,3,2,695.0
arunachal-pradesh,lohit district,2020,3,9,1557.0
arunachal-pradesh,lepa rada district,2020,3,1,548.0
arunachal-pradesh,tawang district,2020,3,1,33.0
arunachal-pradesh,namsai district,2020,3,3,1486.0
arunachal-pradesh,lower dibang valley district,2020,4,9,1981.0
arunachal-pradesh,lower subansiri district,2020,4,1,32.0
arunachal-pradesh,west siang district,2020,4,1,162.0
arunachal-pradesh,tirap district,2020,4,4,1561.0
arunachal-pradesh,papum pare district,2020,4,48,21298.0
arunachal-pradesh,siang district,2020,4,2,691.0
arunachal-pradesh,lower siang district,2020,4,1,33.0
arunachal-pradesh,changlang district,2020,4,7,5505.0
arunachal-pradesh,pakke kessang district,2020,4,2,1017.0
arunachal-pradesh,dibang valley district,2020,4,1,2967.0
arunachal-pradesh,west kameng district,2020,4,15,22182.0
arunachal-pradesh,east siang district,2020,4,10,8075.0
arunachal-pradesh,upper subansiri district,2020,4,2,1154.0
arunachal-pradesh,east kameng district,2020,4,1,32.0
arunachal-pradesh,lohit district,2020,4,5,4148.0
arunachal-pradesh,lepa rada district,2020,4,3,2685.0
arunachal-pradesh,tawang district,2020,4,10,9740.0
arunachal-pradesh,namsai district,2020,4,3,984.0
arunachal-pradesh,lower dibang valley district,2021,1,5,4680.0
arunachal-pradesh,lower subansiri district,2021,1,2,5103.0
arunachal-pradesh,longding district,2021,1,2,1334.0
arunachal-pradesh,west siang district,2021,1,7,3690.0
arunachal-pradesh,kamle district,2021,1,1,167.0
arunachal-pradesh,upper siang district,2021,1,5,900.0
arunachal-pradesh,tirap district,2021,1,7,7696.0
arunachal-pradesh,papum pare district,2021,1,65,62651.0
arunachal-pradesh,siang district,2021,1,2,136.0
arunachal-pradesh,lower siang district,2021,1,5,733.0
arunachal-pradesh,kra daadi district,2021,1,2,366.0
arunachal-pradesh,changlang district,2021,1,12,4524.0
arunachal-pradesh,pakke kessang district,2021,1,2,415.0
arunachal-pradesh,dibang valley district,2021,1,1,669.0
arunachal-pradesh,west kameng district,2021,1,15,9871.0
arunachal-pradesh,east siang district,2021,1,18,8695.0
arunachal-pradesh,upper subansiri district,2021,1,7,4237.0
arunachal-pradesh,east kameng district,2021,1,4,132.0
arunachal-pradesh,lohit district,2021,1,11,2951.0
arunachal-pradesh,lepa rada district,2021,1,2,1258.0
arunachal-pradesh,tawang district,2021,1,11,10155.0
arunachal-pradesh,namsai district,2021,1,8,1248.0
arunachal-pradesh,lower dibang valley district,2021,2,14,8091.0
arunachal-pradesh,lower subansiri district,2021,2,10,4236.0
arunachal-pradesh,west siang district,2021,2,18,8990.0
arunachal-pradesh,upper siang district,2021,2,1,210.0
arunachal-pradesh,tirap district,2021,2,1,1405.0
arunachal-pradesh,papum pare district,2021,2,69,89335.0
arunachal-pradesh,kurung kumey district,2021,2,2,94.0
arunachal-pradesh,anjaw district,2021,2,2,19882.0
arunachal-pradesh,siang district,2021,2,1,5423.0
arunachal-pradesh,kra daadi district,2021,2,1,210.0
arunachal-pradesh,changlang district,2021,2,12,11258.0
arunachal-pradesh,west kameng district,2021,2,20,17896.0
arunachal-pradesh,shi yomi district,2021,2,1,933.0
arunachal-pradesh,east siang district,2021,2,6,2979.0
arunachal-pradesh,upper subansiri district,2021,2,2,467.0
arunachal-pradesh,east kameng district,2021,2,4,327.0
arunachal-pradesh,lohit district,2021,2,16,21096.0
arunachal-pradesh,tawang district,2021,2,13,23216.0
arunachal-pradesh,namsai district,2021,2,11,8880.0
arunachal-pradesh,lower dibang valley district,2021,3,13,11845.0
arunachal-pradesh,lower subansiri district,2021,3,6,11875.0
arunachal-pradesh,west siang district,2021,3,21,57300.0
arunachal-pradesh,kamle district,2021,3,2,1245.0
arunachal-pradesh,upper siang district,2021,3,5,11455.0
arunachal-pradesh,tirap district,2021,3,14,38082.0
arunachal-pradesh,papum pare district,2021,3,50,95368.0
arunachal-pradesh,anjaw district,2021,3,1,1531.0
arunachal-pradesh,lower siang district,2021,3,3,1927.0
arunachal-pradesh,kra daadi district,2021,3,1,946.0
arunachal-pradesh,changlang district,2021,3,15,25894.0
arunachal-pradesh,west kameng district,2021,3,22,21566.0
arunachal-pradesh,east siang district,2021,3,23,32914.0
arunachal-pradesh,upper subansiri district,2021,3,2,2417.0
arunachal-pradesh,lohit district,2021,3,10,15097.0
arunachal-pradesh,lepa rada district,2021,3,1,946.0
arunachal-pradesh,tawang district,2021,3,8,5436.0
arunachal-pradesh,namsai district,2021,3,15,35207.0
arunachal-pradesh,lower dibang valley district,2021,4,11,12440.0
arunachal-pradesh,lower subansiri district,2021,4,7,10820.0
arunachal-pradesh,longding district,2021,4,2,4852.0
arunachal-pradesh,west siang district,2021,4,14,25308.0
arunachal-pradesh,upper siang district,2021,4,2,6420.0
arunachal-pradesh,tirap district,2021,4,14,37402.0
arunachal-pradesh,papum pare district,2021,4,128,232985.0
arunachal-pradesh,kurung kumey district,2021,4,2,4597.0
arunachal-pradesh,anjaw district,2021,4,2,1175.0
arunachal-pradesh,siang district,2021,4,5,7876.0
arunachal-pradesh,lower siang district,2021,4,2,3130.0
arunachal-pradesh,changlang district,2021,4,26,59532.0
arunachal-pradesh,pakke kessang district,2021,4,4,6980.0
arunachal-pradesh,west kameng district,2021,4,37,61049.0
arunachal-pradesh,east siang district,2021,4,7,22841.0
arunachal-pradesh,upper subansiri district,2021,4,4,6632.0
arunachal-pradesh,east kameng district,2021,4,4,4783.0
arunachal-pradesh,lohit district,2021,4,17,19353.0
arunachal-pradesh,lepa rada district,2021,4,4,22217.0
arunachal-pradesh,tawang district,2021,4,14,28772.0
arunachal-pradesh,namsai district,2021,4,14,19295.0
arunachal-pradesh,lower dibang valley district,2022,1,10,17012.0
arunachal-pradesh,lower subansiri district,2022,1,9,27520.0
arunachal-pradesh,longding district,2022,1,6,18234.0
arunachal-pradesh,west siang district,2022,1,7,16731.0
arunachal-pradesh,kamle district,2022,1,2,3042.0
arunachal-pradesh,tirap district,2022,1,22,98280.0
arunachal-pradesh,papum pare district,2022,1,149,339981.0
arunachal-pradesh,kurung kumey district,2022,1,2,2907.0
arunachal-pradesh,anjaw district,2022,1,1,56.0
arunachal-pradesh,siang district,2022,1,3,10551.0
arunachal-pradesh,lower siang district,2022,1,6,16596.0
arunachal-pradesh,kra daadi district,2022,1,1,56.0
arunachal-pradesh,changlang district,2022,1,22,41022.0
arunachal-pradesh,pakke kessang district,2022,1,2,4537.0
arunachal-pradesh,dibang valley district,2022,1,2,4047.0
arunachal-pradesh,west kameng district,2022,1,36,83342.0
arunachal-pradesh,shi yomi district,2022,1,1,1335.0
arunachal-pradesh,east siang district,2022,1,22,50073.0
arunachal-pradesh,upper subansiri district,2022,1,5,7374.0
arunachal-pradesh,east kameng district,2022,1,1,56.0
arunachal-pradesh,lohit district,2022,1,17,33684.0
arunachal-pradesh,lepa rada district,2022,1,5,32299.0
arunachal-pradesh,tawang district,2022,1,11,59469.0
arunachal-pradesh,namsai district,2022,1,13,25903.0
arunachal-pradesh,lower dibang valley district,2022,2,13,25061.0
arunachal-pradesh,lower subansiri district,2022,2,7,13328.0
arunachal-pradesh,longding district,2022,2,3,6396.0
arunachal-pradesh,west siang district,2022,2,24,54485.0
arunachal-pradesh,kamle district,2022,2,2,1353.0
arunachal-pradesh,upper siang district,2022,2,2,7050.0
arunachal-pradesh,tirap district,2022,2,15,32728.0
arunachal-pradesh,papum pare district,2022,2,310,752159.0
arunachal-pradesh,kurung kumey district,2022,2,2,3224.0
arunachal-pradesh,lower siang district,2022,2,3,9427.0
arunachal-pradesh,kra daadi district,2022,2,3,4261.0
arunachal-pradesh,changlang district,2022,2,25,51823.0
arunachal-pradesh,west kameng district,2022,2,47,115575.0
arunachal-pradesh,east siang district,2022,2,29,107087.0
arunachal-pradesh,upper subansiri district,2022,2,4,1295.0
arunachal-pradesh,east kameng district,2022,2,10,17345.0
arunachal-pradesh,lohit district,2022,2,21,59273.0
arunachal-pradesh,lepa rada district,2022,2,4,2554.0
arunachal-pradesh,tawang district,2022,2,26,61225.0
arunachal-pradesh,namsai district,2022,2,14,34582.0
arunachal-pradesh,lower dibang valley district,2022,3,17,26960.0
arunachal-pradesh,lower subansiri district,2022,3,11,26683.0
arunachal-pradesh,longding district,2022,3,2,9842.0
arunachal-pradesh,west siang district,2022,3,16,86941.0
arunachal-pradesh,kamle district,2022,3,1,2325.0
arunachal-pradesh,upper siang district,2022,3,4,6334.0
arunachal-pradesh,tirap district,2022,3,23,54004.0
arunachal-pradesh,papum pare district,2022,3,250,590296.0
arunachal-pradesh,anjaw district,2022,3,1,1758.0
arunachal-pradesh,siang district,2022,3,2,6421.0
arunachal-pradesh,lower siang district,2022,3,3,4229.0
arunachal-pradesh,kra daadi district,2022,3,1,5626.0
arunachal-pradesh,changlang district,2022,3,22,53679.0
arunachal-pradesh,pakke kessang district,2022,3,2,2018.0
arunachal-pradesh,west kameng district,2022,3,42,118030.0
arunachal-pradesh,shi yomi district,2022,3,1,1304.0
arunachal-pradesh,east siang district,2022,3,35,54567.0
arunachal-pradesh,upper subansiri district,2022,3,1,720.0
arunachal-pradesh,east kameng district,2022,3,15,25996.0
arunachal-pradesh,lohit district,2022,3,18,45865.0
arunachal-pradesh,lepa rada district,2022,3,5,9636.0
arunachal-pradesh,tawang district,2022,3,24,112439.0
arunachal-pradesh,namsai district,2022,3,14,54631.0
arunachal-pradesh,lower dibang valley district,2022,4,23,56348.0
arunachal-pradesh,lower subansiri district,2022,4,14,21747.0
arunachal-pradesh,longding district,2022,4,8,30147.0
arunachal-pradesh,west siang district,2022,4,22,42902.0
arunachal-pradesh,upper siang district,2022,4,10,38307.0
arunachal-pradesh,tirap district,2022,4,22,69612.0
arunachal-pradesh,papum pare district,2022,4,249,557453.0
arunachal-pradesh,kurung kumey district,2022,4,2,1617.0
arunachal-pradesh,anjaw district,2022,4,5,15990.0
arunachal-pradesh,siang district,2022,4,8,25817.0
arunachal-pradesh,lower siang district,2022,4,3,14716.0
arunachal-pradesh,kra daadi district,2022,4,2,2861.0
arunachal-pradesh,changlang district,2022,4,39,92295.0
arunachal-pradesh,pakke kessang district,2022,4,4,9380.0
arunachal-pradesh,dibang valley district,2022,4,1,1273.0
arunachal-pradesh,west kameng district,2022,4,53,140810.0
arunachal-pradesh,shi yomi district,2022,4,1,56.0
arunachal-pradesh,east siang district,2022,4,33,62867.0
arunachal-pradesh,upper subansiri district,2022,4,7,6741.0
arunachal-pradesh,east kameng district,2022,4,11,18432.0
arunachal-pradesh,lohit district,2022,4,35,74057.0
arunachal-pradesh,lepa rada district,2022,4,4,11158.0
arunachal-pradesh,tawang district,2022,4,32,117810.0
arunachal-pradesh,namsai district,2022,4,25,52176.0
arunachal-pradesh,lower dibang valley district,2023,1,17,32562.0
arunachal-pradesh,lower subansiri district,2023,1,18,52453.0
arunachal-pradesh,longding district,2023,1,11,38902.0
arunachal-pradesh,west siang district,2023,1,26,77049.0
arunachal-pradesh,upper siang district,2023,1,13,45923.0
arunachal-pradesh,tirap district,2023,1,20,42058.0
arunachal-pradesh,papum pare district,2023,1,214,609907.0
arunachal-pradesh,kurung kumey district,2023,1,2,11687.0
