State,District,Year,Quater,Transaction_count,Transaction_amount
andhra-pradesh,east godavari district,2020,3,17972431,39300043804.75851
andhra-pradesh,srikakulam district,2020,3,8286289,18029574581.337425
andhra-pradesh,spsr nellore district,2020,3,16468209,39128324534.03022
andhra-pradesh,vizianagaram district,2020,3,8236703,17567816576.501263
andhra-pradesh,visakhapatnam district,2020,3,34421299,67628440368.111465
andhra-pradesh,prakasam district,2020,3,12266310,31221704852.44969
andhra-pradesh,anantapur district,2020,3,14447683,34102037972.65785
andhra-pradesh,ysr district,2020,3,11934653,32037007334.12973
andhra-pradesh,west godavari district,2020,3,10412351,25408608725.754295
andhra-pradesh,kurnool district,2020,3,13243292,32529351107.17173
andhra-pradesh,chittoor district,2020,3,20501863,42811566246.16463
andhra-pradesh,guntur district,2020,3,17601395,42531195809.75448
andhra-pradesh,krishna district,2020,3,19110457,44788458672.084435
andhra-pradesh,east godavari district,2020,4,25989490,58732615663.118416
andhra-pradesh,srikakulam district,2020,4,11092184,25222520275.27882
andhra-pradesh,spsr nellore district,2020,4,20934374,49115443663.37911
andhra-pradesh,vizianagaram district,2020,4,10580824,24094847668.445065
andhra-pradesh,visakhapatnam district,2020,4,46551467,91879823025.40399
andhra-pradesh,prakasam district,2020,4,16176867,41852443493.515396
andhra-pradesh,anantapur district,2020,4,20996384,49732610814.26222
andhra-pradesh,ysr district,2020,4,15676878,42572974713.44026
andhra-pradesh,west godavari district,2020,4,15674762,40310975762.603455
andhra-pradesh,kurnool district,2020,4,18737323,44718203115.22612
andhra-pradesh,chittoor district,2020,4,29590411,61505711149.79541
andhra-pradesh,guntur district,2020,4,26136538,60641872021.25432
andhra-pradesh,krishna district,2020,4,27981050,64461504667.60723
andhra-pradesh,east godavari district,2021,1,26190701,60027984987.96951
andhra-pradesh,srikakulam district,2021,1,11160473,26486623313.092724
andhra-pradesh,spsr nellore district,2021,1,22541428,52210333201.53073
andhra-pradesh,vizianagaram district,2021,1,10514582,24153782497.243248
andhra-pradesh,visakhapatnam district,2021,1,48248923,95308386037.84721
andhra-pradesh,prakasam district,2021,1,15175395,41396223622.174774
andhra-pradesh,anantapur district,2021,1,20102957,48353870395.01808
andhra-pradesh,ysr district,2021,1,15374473,42570919448.50447
andhra-pradesh,west godavari district,2021,1,16015685,42124030669.36126
andhra-pradesh,kurnool district,2021,1,17918524,44941629659.56964
andhra-pradesh,chittoor district,2021,1,29342609,60947491846.66089
andhra-pradesh,guntur district,2021,1,27445045,64207987853.108406
andhra-pradesh,krishna district,2021,1,29717175,69715406644.53485
andhra-pradesh,east godavari district,2021,2,31717908,74604325863.66068
andhra-pradesh,srikakulam district,2021,2,13546232,32298129544.540867
andhra-pradesh,spsr nellore district,2021,2,30290406,72283071757.09679
andhra-pradesh,vizianagaram district,2021,2,12689494,29140685236.830723
andhra-pradesh,visakhapatnam district,2021,2,54390299,114439012713.35336
andhra-pradesh,prakasam district,2021,2,19944047,54535328043.04135
andhra-pradesh,anantapur district,2021,2,25123346,60987487571.279915
andhra-pradesh,ysr district,2021,2,18457361,52523527031.02132
andhra-pradesh,west godavari district,2021,2,20950964,57233116236.18796
andhra-pradesh,kurnool district,2021,2,21972396,56659287474.995804
andhra-pradesh,chittoor district,2021,2,34344902,73654690122.43158
andhra-pradesh,guntur district,2021,2,32968819,82356914463.83287
andhra-pradesh,krishna district,2021,2,36370960,90021923049.96454
andhra-pradesh,east godavari district,2021,3,39572714,89380370072.7078
andhra-pradesh,srikakulam district,2021,3,15639768,34836400769.876816
andhra-pradesh,spsr nellore district,2021,3,34411958,77839676988.30869
andhra-pradesh,vizianagaram district,2021,3,14510005,31383541628.212524
andhra-pradesh,visakhapatnam district,2021,3,69220981,136945652159.26515
andhra-pradesh,prakasam district,2021,3,24116580,63367713446.928055
andhra-pradesh,anantapur district,2021,3,30366444,70291248155.64975
andhra-pradesh,ysr district,2021,3,22439316,60683557724.652336
andhra-pradesh,west godavari district,2021,3,26245039,66647238455.1675
andhra-pradesh,kurnool district,2021,3,26377809,62527453761.59807
andhra-pradesh,chittoor district,2021,3,42628568,89371931753.04831
andhra-pradesh,guntur district,2021,3,41675093,96525353090.12305
andhra-pradesh,krishna district,2021,3,44828275,104417897558.58972
andhra-pradesh,east godavari district,2021,4,48992531,106725597026.00356
andhra-pradesh,srikakulam district,2021,4,18501857,39713657870.15512
andhra-pradesh,spsr nellore district,2021,4,41921081,92256405076.26547
andhra-pradesh,vizianagaram district,2021,4,17253059,36577529464.9687
andhra-pradesh,visakhapatnam district,2021,4,82711538,159530099772.73474
andhra-pradesh,prakasam district,2021,4,27858275,71323060008.47623
andhra-pradesh,anantapur district,2021,4,36129136,81239787006.64764
andhra-pradesh,ysr district,2021,4,26340348,69081850069.2033
andhra-pradesh,west godavari district,2021,4,33235175,81292461575.08182
andhra-pradesh,kurnool district,2021,4,31782248,73968947669.64754
andhra-pradesh,chittoor district,2021,4,51119640,103985734663.73514
andhra-pradesh,guntur district,2021,4,50919286,115553993673.17337
andhra-pradesh,krishna district,2021,4,55489829,125015323207.89836
andhra-pradesh,east godavari district,2022,1,54738830,121067103712.79568
andhra-pradesh,srikakulam district,2022,1,20990782,46898912115.649216
andhra-pradesh,spsr nellore district,2022,1,47645702,104895571602.13988
andhra-pradesh,vizianagaram district,2022,1,19278262,41994853361.58879
andhra-pradesh,visakhapatnam district,2022,1,88233362,170120350591.26004
andhra-pradesh,prakasam district,2022,1,31340975,79494373254.71565
andhra-pradesh,anantapur district,2022,1,40613148,90197023268.43825
andhra-pradesh,ysr district,2022,1,29783739,78421693518.90942
andhra-pradesh,west godavari district,2022,1,37271259,92397939903.60938
andhra-pradesh,kurnool district,2022,1,35093633,81568420500.54749
andhra-pradesh,chittoor district,2022,1,58561024,117900595508.634
andhra-pradesh,guntur district,2022,1,57226996,129673727687.08942
andhra-pradesh,krishna district,2022,1,61826199,139690081529.49048
andhra-pradesh,east godavari district,2022,2,62072845,135531452997.6391
andhra-pradesh,srikakulam district,2022,2,23727353,53754764122.4327
andhra-pradesh,spsr nellore district,2022,2,54838708,121941082043.49483
andhra-pradesh,vizianagaram district,2022,2,21766135,47294745020.495636
andhra-pradesh,visakhapatnam district,2022,2,101387402,193242841582.14285
andhra-pradesh,prakasam district,2022,2,36163507,90435082545.97766
andhra-pradesh,anantapur district,2022,2,46099366,102138758015.76915
andhra-pradesh,ysr district,2022,2,33154559,87601310069.59737
