State,District,Pincode,Year,Quater,Trans_dist_count,Trans_dist_amount,Trans_pincode_count,Trans_pincode_amount
chhattisgarh,raipur,495660,2018,1,323570,474633363.8981755,109908,139116923.36929727
chhattisgarh,raipur,495660,2018,2,470127,841704574.3248034,248699,378210292.7923543
chhattisgarh,raipur,495660,2018,3,659871,1235190303.9525878,353580,492966965.6574571
chhattisgarh,raipur,495660,2018,4,891868,1740861108.0445876,377913,599714593.9068495
chhattisgarh,raipur,492009,2019,1,1847370,2956050311.7861857,593305,948729929.1277255
chhattisgarh,raipur,492009,2019,2,3068366,5288462569.173023,1670111,2947453940.1383486
chhattisgarh,raipur,492009,2019,3,3977297,6485603479.074835,1843301,3497211746.9583116
chhattisgarh,raipur,492009,2019,4,5644383,9527539915.79604,2807708,5488409197.56369
chhattisgarh,raipur,492009,2020,1,7165357,12890786407.130106,3832879,8107114729.270458
chhattisgarh,raipur,492009,2020,2,4506567,8132937028.126705,1526874,3719446962.0483813
chhattisgarh,raipur,492009,2020,3,6042530,10684762115.033833,1857300,4069532117.927307
chhattisgarh,raipur,492009,2020,4,8570997,14747848599.14896,1955063,3901827452.842137
chhattisgarh,raipur,492009,2021,1,10625343,17249749779.092148,3152697,5281456698.639032
chhattisgarh,raipur,492009,2021,2,10882417,18678914879.009037,3531665,6237261109.571448
chhattisgarh,raipur,492009,2021,3,17276668,26769245295.71399,5612983,8770212351.408337
chhattisgarh,raipur,492009,2021,4,23353982,36279287404.820206,8304401,12964571702.987217
chhattisgarh,raipur,492009,2022,1,25836062,39990361268.69826,8604266,13265608315.34198
chhattisgarh,raipur,492009,2022,2,31131873,46778811056.547844,10025789,14968791943.376333
chhattisgarh,raipur,490025,2022,3,40322093,55869046982.08136,27709655,34710838372.56677
chhattisgarh,durg,490025,2022,4,48523671,64247502275.46567,30367292,39832838087.7527
chhattisgarh,raipur,492001,2023,1,45622190,62999064541.0,11115338,14659105958.0
chhattisgarh,raipur,492001,2023,2,52620640,69883706700.0,12593303,16219495858.0
chhattisgarh,raipur,492001,2023,3,60246482,74957335333.0,14418394,17371915298.0
chhattisgarh,raipur,492001,2023,4,65920222,83942581882.0,15523551,19382487915.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,1,92738,105807098.82670307,77416,87636730.73288153
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,2,128642,186926842.5467928,107488,158175937.8700928
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,3,177851,273261425.21412045,147182,231027621.23926872
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,4,247575,399434283.41724634,205341,336872613.47805977
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,1,386213,505553450.4985651,320483,421520724.75977975
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,2,276573,465450284.8957217,229045,389519722.1058071
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,3,385688,579621876.8486073,321026,484826521.3424107
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,4,465412,736360098.0195075,386314,614130571.5198164
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,1,535805,813878312.368383,441116,671365594.9261298
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,2,607115,819008453.120671,501163,685517651.4043604
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,3,735433,1113115462.3887653,612080,919516792.6168573
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,4,1178976,1683480021.6173902,983398,1374632600.8369546
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,1,1218428,1825446563.9770944,1012000,1485582190.5625858
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,2,1350893,1981679666.5277362,1116145,1605778312.2955143
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,3,1979522,2673225036.233348,1638554,2161174008.8665886
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,4,2651530,3463923579.431045,2185292,2785135349.772399
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,1,3078173,3954838129.047655,2529505,3175914207.706642
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,2,3705529,4384666145.001483,3036361,3510648290.549227
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,3,3999361,4602085602.265935,3258977,3694118763.925285
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,4,4689855,5134034950.126673,3819682,4120308217.5601406
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,1,7700138,8122810854.0,6218492,6477021613.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,2,8670763,8831457320.0,6990902,7036241742.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,3,9971874,9836561533.0,7984685,7828624075.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,4,11844359,11345951876.0,9476985,9023138914.0
delhi,central delhi,110006,2018,1,2997714,4312145216.274474,2636324,3714139312.238586
delhi,central delhi,110006,2018,2,3589206,6223466821.0926285,3069733,5237594871.124264
delhi,central delhi,110006,2018,3,8165361,10515884583.426525,7198882,9029499185.157822
delhi,central delhi,110006,2018,4,9373395,13878492766.290386,7532374,11605568511.039162
delhi,central delhi,110006,2019,1,12885975,16258175800.83931,10251048,13201959766.05106
delhi,new delhi,110011,2019,2,23313548,36146671717.918365,20001452,31366326747.68567
delhi,new delhi,110011,2019,3,24687138,43288057341.92169,20159577,36968948004.60185
delhi,new delhi,110011,2019,4,29048107,54398427887.76768,22861243,44827058149.79611
delhi,central delhi,110006,2020,1,24757650,41219414205.06069,19881142,34803706848.31907
delhi,central delhi,110006,2020,2,17641823,30418597739.3527,14401400,26006450222.981194
delhi,central delhi,110006,2020,3,32203761,61527717933.93762,27731187,53768475790.81149
delhi,central delhi,110006,2020,4,32194168,61575435521.28283,24969702,48831647275.471146
delhi,central delhi,110006,2021,1,54173342,90711721159.77658,46104924,76683904356.11441
delhi,central delhi,110006,2021,2,62131856,100895875737.76091,54888173,88849307061.744
delhi,central delhi,110006,2021,3,88849847,137311394953.58371,77515502,117511789786.6426
delhi,central delhi,110006,2021,4,111134916,177625511230.04297,96850347,152021116180.99402
delhi,central delhi,110006,2022,1,128309915,198072597274.588,112708284,170854549748.09644
delhi,central delhi,110006,2022,2,159034619,232911858055.08478,139136098,200269818218.75818
delhi,central delhi,110006,2022,3,243139962,327191972497.867,222465526,294132832922.7636
delhi,central delhi,110006,2022,4,280960656,386107883617.53076,258183697,349487194869.16797
delhi,south east delhi,110059,2023,1,56901581,72188090661.0,14401748,22469453032.0
delhi,south east delhi,110059,2023,2,66237557,78214516249.0,17063374,24752482621.0
delhi,south east delhi,110059,2023,3,74833594,83210641938.0,19800398,27131615352.0
delhi,south east delhi,110059,2023,4,81901206,92211250667.0,21523382,29668224388.0
goa,north goa,403401,2018,1,95114,187108291.98525044,9837,17568338.79799645
goa,north goa,403001,2018,2,133429,290814882.35943836,14264,42305543.14160389
goa,north goa,403722,2018,3,194726,421264288.45388794,22917,33996326.905014634
goa,north goa,403722,2018,4,305380,714879898.599603,35544,50505207.291698724
goa,north goa,403722,2019,1,441807,940864352.317215,52100,65683966.67567325
goa,north goa,403516,2019,2,470250,1020834861.8525431,57502,140158213.78222042
goa,north goa,403001,2019,3,673971,1293013307.2683115,76717,190634992.80205646
goa,north goa,403516,2019,4,980231,1963621433.5422535,135378,292464329.40128493
goa,north goa,403516,2020,1,1277387,2374507200.865538,191898,368233387.98176056
goa,north goa,403001,2020,2,883695,1294651809.391935,104077,201722910.30992788
goa,north goa,403001,2020,3,1165122,2087621922.6831622,290028,642201696.1086454
goa,north goa,403001,2020,4,2504378,4712001378.742861,442303,1003262762.8099118
goa,north goa,403001,2021,1,3797921,7119400649.563017,900379,1813311525.497085
goa,north goa,403001,2021,2,3083639,5391453884.873638,1001588,1763922715.9206922
goa,north goa,403001,2021,3,4282602,7042155411.60932,1269330,2044070749.06711
goa,north goa,403001,2021,4,7808548,13467044827.548832,1935051,3497234194.7621446
goa,north goa,403001,2022,1,8513573,14075639843.882042,2218382,3849342160.883536
goa,north goa,403001,2022,2,9999773,16484842033.028084,2800103,4813402074.055575
